iter	Logloss
376	0.3675741789
377	0.3674173927
378	0.3672172045
379	0.3671027702
380	0.3670252445
381	0.3668671882
382	0.3667670769
383	0.3665861102
384	0.3663492181
385	0.3661552597
386	0.3659507639
387	0.3657882736
388	0.3656697381
389	0.3655970468
390	0.3655939829
391	0.3654003643
392	0.3652982772
393	0.3652556896
394	0.3652200313
395	0.3651841873
396	0.3651434307
397	0.3650536988
398	0.3649862722
399	0.364833879
400	0.3646371545
401	0.3644735376
402	0.3643213337
403	0.3642304425
404	0.3640961514
405	0.3638960289
406	0.3638513059
407	0.3636476645
408	0.3635231962
409	0.3634499771
410	0.3633307878
411	0.36312638
412	0.362846257
413	0.3627666436
414	0.3627319554
415	0.362617952
416	0.3624401621
417	0.3622978567
418	0.3622295924
419	0.362115531
420	0.3619853155
421	0.3617666369
422	0.3616108509
423	0.3614186006
424	0.3613586875
425	0.3611140179
426	0.3608485419
427	0.360763027
428	0.3606016687
429	0.3603348239
430	0.3602913317
431	0.3601955123
432	0.3601028088
433	0.3600243903
434	0.359836258
435	0.3597600899
436	0.3596602621
437	0.3595703297
438	0.3593564307
439	0.35919287
440	0.3590743555
441	0.3589531147
442	0.3589135258
443	0.3589066076
444	0.3588909242
445	0.3588552398
446	0.3586929752
447	0.3584212118
448	0.3582750864
449	0.3580319241
450	0.3578052201
451	0.3575800819
452	0.3573474066
453	0.3572586962
454	0.3571134619
455	0.3570178805
456	0.3568734185
457	0.3567271128
458	0.3566224574
459	0.3565564808
460	0.356414205
461	0.3562772809
462	0.356103241
463	0.355879526
464	0.3556954395
465	0.3554262168
466	0.3552795758
467	0.3551642179
468	0.3550043981
469	0.3548624627
470	0.3548086518
471	0.3547556297
472	0.3547337814
473	0.354445596
474	0.3543066881
475	0.3542184982
476	0.3540907154
477	0.3539350326
478	0.3539210842
479	0.3539133587
480	0.3538021922
481	0.3535623418
482	0.3533885441
483	0.3530922378
484	0.3530224258
485	0.3528072187
486	0.3527487489
487	0.35256095
488	0.3523045759
489	0.3521806806
490	0.3520966252
491	0.3518724488
492	0.3516729749
493	0.3514683828
494	0.351348985
495	0.3511668563
496	0.3510568777
497	0.3508970575
498	0.3507558362
499	0.3506918383
500	0.3505273578
501	0.3502817177
502	0.3501558148
503	0.3501453621
504	0.3501249299
505	0.3500335169
506	0.349892545
507	0.349778591
508	0.3496970076
509	0.3495162254
510	0.3494864991
511	0.3494048716
512	0.349190519
513	0.3491413614
514	0.3490018128
515	0.3489466488
516	0.3487718332
517	0.3486004704
518	0.3485314315
519	0.3483202612
520	0.3480594434
521	0.3479646306
522	0.3479306686
523	0.3478103571
524	0.3478010284
525	0.3477215361
526	0.3475612311
527	0.3475244039
528	0.347447963
529	0.3472922662
530	0.3472042604
531	0.3471124054
532	0.3470892598
533	0.3468739202
534	0.3467569051
535	0.3466693675
536	0.3465726556
537	0.3464180274
538	0.3463383864
539	0.34630013
540	0.3462273614
541	0.3459361877
542	0.3459149545
543	0.3458414723
544	0.3456730367
545	0.3455865865
546	0.3453475599
547	0.3451843052
548	0.3449870805
549	0.3446719868
550	0.3446249181
551	0.3444099215
552	0.3443977464
553	0.3443342487
554	0.3442784172
555	0.3441887298
556	0.3441723172
557	0.3440761039
558	0.3439039162
559	0.3436968955
560	0.3436332981
561	0.3435091521
562	0.3433659734
563	0.3433029572
564	0.3431686628
565	0.3430113379
566	0.3429912529
567	0.3429294241
568	0.3428435951
569	0.3427287205
570	0.3427051372
571	0.3425852685
572	0.3424779558
573	0.3423674513
574	0.3421914095
575	0.3421799841
576	0.3420306491
577	0.3419864031
578	0.3418985512
579	0.3416479665
580	0.341565835
581	0.3415236052
582	0.3414858152
583	0.3414214236
584	0.3412893151
585	0.3411821924
586	0.3409810908
587	0.3409642112
588	0.3409167341
589	0.3408041555
590	0.3407340598
591	0.3406494114
592	0.3405776764
593	0.3404948691
594	0.3401015427
595	0.3400675359
596	0.3398172522
597	0.3397790069
598	0.3396740187
599	0.3394841702
600	0.3394363931
601	0.3392666801
602	0.3390730387
603	0.3388996668
604	0.3387385084
605	0.3386333698
606	0.3385509752
607	0.3385018985
608	0.3384045584
609	0.3382624646
610	0.3380775699
611	0.3379958933
612	0.3379850793
613	0.3378490797
614	0.3377726346
615	0.3376966851
616	0.3375677753
617	0.3375346191
618	0.3373468641
619	0.3373018593
620	0.3370329738
621	0.3369604986
622	0.3369108064
623	0.3367087325
624	0.3364388508
625	0.3363788618
626	0.3363428921
627	0.3362767232
628	0.3362651802
629	0.3361002
630	0.335934944
631	0.335829591
632	0.3357942046
633	0.3357794555
634	0.335717353
635	0.3355546511
636	0.3355109036
637	0.3354892059
638	0.335228338
639	0.3351422796
640	0.3350064808
641	0.3349339442
642	0.334778405
643	0.3346948345
644	0.3345243764
645	0.3343962635
646	0.3343868372
647	0.3342874546
648	0.334153459
649	0.3339074224
650	0.3338060399
651	0.3336592355
652	0.333577643
653	0.3333506088
654	0.3333257022
655	0.3332334911
656	0.3329756219
657	0.3328860406
658	0.3327312715
659	0.3326221858
660	0.3324299012
661	0.3322532916
662	0.3320929597
663	0.3320112068
664	0.3318663446
665	0.3317086064
666	0.3316702898
667	0.331630231
668	0.3313292684
669	0.331186896
670	0.3310098573
671	0.3309880869
672	0.3309065494
673	0.3308799553
674	0.3307726618
675	0.3306746843
676	0.3306039832
677	0.3305118228
678	0.3304760733
679	0.3303764785
680	0.3303421136
681	0.3302417261
682	0.3301053493
683	0.3299431918
684	0.3298010264
685	0.3297714678
686	0.3296719161
687	0.3295493042
688	0.3294161293
689	0.3293094686
690	0.3292271418
691	0.3291177126
692	0.3289217503
693	0.3289037949
694	0.3288272927
695	0.32873285
696	0.3285401945
697	0.328509686
698	0.3283353697
699	0.3282716685
700	0.3282027902
701	0.3281628353
702	0.3281086741
703	0.3279416557
704	0.3277864179
705	0.3276498228
706	0.3275583973
707	0.327517948
708	0.3275075952
709	0.3273911986
710	0.3273048748
711	0.3272823459
712	0.3270644266
713	0.3270000335
714	0.3269844742
715	0.326960398
716	0.3268118228
717	0.3267109691
718	0.3265695405
719	0.3265614112
720	0.3264848554
721	0.3264118078
722	0.3261888814
723	0.3260005015
724	0.3259202568
725	0.3256728011
726	0.3255699386
727	0.3255442048
728	0.3255089087
729	0.3251975906
730	0.3250848181
731	0.324888907
732	0.3248063939
733	0.3246178707
734	0.3244437995
735	0.3242457996
736	0.3242239016
737	0.3241429742
738	0.3240779943
739	0.3240268421
740	0.3239849415
741	0.3237285573
742	0.3236457642
743	0.3234178058
744	0.3232162013
745	0.3232021096
746	0.3229415209
747	0.3229223806
748	0.3228671146
749	0.3226564872
750	0.3225581611
751	0.3224747324
752	0.3223996816
753	0.3223311648
754	0.32225635
755	0.3221902717
756	0.3221147029
757	0.3220100551
758	0.3218803902
759	0.3217869487
760	0.3215989529
761	0.3215147654
762	0.3214102919
763	0.3213258817
764	0.3212693132
765	0.3212035775
766	0.3210887271
767	0.3208863799
768	0.3207760692
769	0.3207084031
770	0.3206184171
771	0.3204954311
772	0.320358744
773	0.3202645721
774	0.3201843105
775	0.320105749
776	0.3200223939
777	0.319962058
778	0.3197146657
779	0.3195584791
780	0.3194956656
781	0.3194498471
782	0.319269904
783	0.3191358988
784	0.3191061089
785	0.3189755929
786	0.3188687926
787	0.3187479256
788	0.3187077757
789	0.3184350761
790	0.3183342241
791	0.318241786
792	0.3181754012
793	0.3179990075
794	0.3179688323
795	0.3178468798
796	0.3177790543
797	0.3175454558
798	0.3174724691
799	0.3174202168
800	0.3172984458
801	0.317245142
802	0.3171707037
803	0.3169910998
804	0.3169058079
805	0.3168165438
806	0.3167549303
807	0.3166664103
808	0.3165984962
809	0.3164851718
810	0.3163411452
811	0.3163270325
812	0.3162444868
813	0.3160952747
814	0.3160184355
815	0.3158773527
816	0.315797346
817	0.3156833527
818	0.3156382324
819	0.3154755496
820	0.3154453408
821	0.3154294973
822	0.315372048
823	0.3152929772
824	0.3152255548
825	0.315148607
826	0.3149443317
827	0.314810295
828	0.3147230468
829	0.3145115628
830	0.3142690836
831	0.3142431317
832	0.3140878476
833	0.3139087822
834	0.3137641352
835	0.3137340787
836	0.3137042893
837	0.3136431682
838	0.3134632954
839	0.3133726079
840	0.3131868725
841	0.3131213065
842	0.3131010759
843	0.3129274158
844	0.3128333312
845	0.3128234758
846	0.3127781135
847	0.3126432967
848	0.3125740334
849	0.3122814503
850	0.3121680055
851	0.312065634
852	0.3120001279
853	0.3117599012
854	0.3115701313
855	0.3114934192
856	0.3114531949
857	0.3113196771
858	0.311215452
859	0.3111662307
860	0.311096833
861	0.3109281484
862	0.3108643734
863	0.3107048697
864	0.3106495915
865	0.3105734422
866	0.3104564619
867	0.3102303146
868	0.3101427863
869	0.3100099809
870	0.3099326851
871	0.3098780691
872	0.3098093588
873	0.3097460204
874	0.3095577071
875	0.3095224445
876	0.3094348023
877	0.309352289
878	0.3092875119
879	0.3091170821
880	0.3091032026
881	0.3090795555
882	0.3090202292
883	0.3087943902
884	0.3086543428
885	0.3085452309
886	0.3084688
887	0.3083860503
888	0.3082066276
889	0.3081470752
890	0.3079890223
891	0.3079506561
892	0.3079425871
893	0.3078760949
894	0.307786144
895	0.3077130615
896	0.3076436703
897	0.3075842323
898	0.3074927738
899	0.3074031501
900	0.3072743412
901	0.3071916111
902	0.3071829766
903	0.3070422305
904	0.3069906919
905	0.3069364323
906	0.3068621621
907	0.3065583997
908	0.3064354155
909	0.3063921945
910	0.3063217862
911	0.3061037788
912	0.3060211919
913	0.3059527075
914	0.3057165826
915	0.3056180301
916	0.3055727402
917	0.3054663953
918	0.3052964068
919	0.3052451981
920	0.3051892771
921	0.3050343405
922	0.3049337256
923	0.3048629227
924	0.3047982434
925	0.3047210183
926	0.3046371672
927	0.3045799906
928	0.3044917143
929	0.3043941144
930	0.3043403288
931	0.3043090385
932	0.304209938
933	0.3040824328
934	0.3040497181
935	0.3038744654
936	0.3038044004
937	0.3035044727
938	0.3034972806
939	0.3033982903
940	0.3033018874
941	0.3031779616
942	0.303104012
943	0.3030544052
944	0.3029783275
945	0.3028755554
946	0.302682264
947	0.3026290727
948	0.3025675642
949	0.3024045117
950	0.3021743362
951	0.3020552617
952	0.301857957
953	0.3017946447
954	0.30154052
955	0.3014278018
956	0.3013506109
957	0.3013261715
958	0.3011989206
959	0.3010711851
960	0.3008957845
961	0.3006844454
962	0.3005962255
963	0.3005527939
964	0.3004592289
965	0.3003367736
966	0.3002855557
967	0.3000709897
968	0.3000032479
969	0.2998737529
970	0.2998115573
971	0.2997157808
972	0.2996225403
973	0.2994055775
974	0.2993411576
975	0.2992799594
976	0.2990234876
977	0.2989793566
978	0.2989073699
979	0.2988598478
980	0.2987292401
981	0.2985160895
982	0.2984607801
983	0.2984385437
984	0.2983537415
985	0.2982640592
986	0.2982287472
987	0.2980693169
988	0.2979537466
989	0.297907318
990	0.2978637117
991	0.2977080843
992	0.2975053519
993	0.297416883
994	0.2972588305
995	0.2972308698
996	0.2969968557
997	0.2969253363
998	0.296838136
999	0.2967904038
